Rank,Name,Release Year,IMDb Rating,No. of User ratings,Duration,Director,Stars,Budget (estimated),Worldwide Gross
118,Snatch,2000,8.2,"797,461",104 min,Guy Ritchie,"('Jason Statham', 'Brad Pitt', 'Stephen Graham')","GBP6,000,000","$83,557,872"
119,Scarface,1983,8.2,"762,315","170 min
|
142 min
            (TV)",Brian De Palma,"('Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer')","$25,000,000","$65,884,703"
120,Toy Story 3,2010,8.2,"772,625",103 min,Lee Unkrich,"('Tom Hanks', 'Tim Allen', 'Joan Cusack')","$200,000,000","$1,066,970,811"
121,To Kill a Mockingbird,1962,8.2,"298,499",129 min,Robert Mulligan,"('Gregory Peck', 'John Megna', 'Frank Overton')","$2,000,000","$599,146"
122,Per qualche dollaro in più,1965,8.2,"237,796",132 min,Sergio Leone,"('Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè')","$600,000","$15,000,000"
123,Up,2009,8.2,"957,364",96 min,Pete Docter,"('Edward Asner', 'Jordan Nagai', 'John Ratzenberger')","$175,000,000","$735,099,102"
124,Indiana Jones and the Last Crusade,1989,8.2,"704,679",127 min,Steven Spielberg,"('Harrison Ford', 'Sean Connery', 'Alison Doody')","$48,000,000","$474,171,806"
125,L.A. Confidential,1997,8.2,"542,365",138 min,Curtis Hanson,"('Kevin Spacey', 'Russell Crowe', 'Guy Pearce')","$35,000,000","$126,216,940"
126,Heat,1995,8.2,"592,825",170 min,Michael Mann,"('Al Pacino', 'Robert De Niro', 'Val Kilmer')","$60,000,000","$187,436,818"
127,Rashomon,1950,8.2,"156,324",88 min,Akira Kurosawa,"('Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori')","$250,000","$46,808"
128,Yojinbo,1961,8.2,"114,087",110 min,Akira Kurosawa,"('Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai')",N/A,"$46,808"
129,Ran,1985,8.2,"115,945",162 min,Akira Kurosawa,"('Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu')","$11,500,000","$4,164,283"
130,Die Hard,1988,8.2,"806,973",132 min,John McTiernan,"('Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia')","$28,000,000","$141,603,197"
131,Monty Python and the Holy Grail,1975,8.2,"508,981",91 min,Terry Gilliam,"('Graham Chapman', 'John Cleese', 'Eric Idle')","GBP229,575","$1,940,906"
132,Green Book,2018,8.2,"408,946",130 min,Peter Farrelly,"('Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini')","$23,000,000","$321,752,656"
133,Der Untergang,2004,8.2,"337,032","156 min
|
178 min
            (extended)",Oliver Hirschbiegel,"('Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes')","EUR13,500,000","$92,181,574"
134,Batman Begins,2005,8.2,"1,337,276",140 min,Christopher Nolan,"('Christian Bale', 'Michael Caine', 'Ken Watanabe')","$150,000,000","$373,661,946"
135,Some Like It Hot,1959,8.2,"248,810",121 min,Billy Wilder,"('Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon')","$2,883,848","$195,088"
136,All About Eve,1950,8.2,"123,026",138 min,Joseph L. Mankiewicz,"('Bette Davis', 'Anne Baxter', 'George Sanders')","$1,400,000","$151,052"
137,Unforgiven,1992,8.2,"383,801",130 min,Clint Eastwood,"('Clint Eastwood', 'Gene Hackman', 'Morgan Freeman')","$14,400,000","$159,157,447"
138,Bacheha-Ye aseman,1997,8.2,"67,829",89 min,Majid Majidi,"('Mohammad Amir Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi')","$180,000","$933,933"
139,Hauru no ugoku shiro,2004,8.2,"347,220",119 min,Hayao Miyazaki,"('Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin')","$24,000,000","$236,214,446"
140,The Wolf of Wall Street,2013,8.2,"1,231,242","180 min
|
145 min
            (cut)
          |
240 min
            (rough cut)",Martin Scorsese,"('Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie')","$100,000,000","$392,000,694"
141,The Great Escape,1963,8.2,"229,363",172 min,John Sturges,"('Steve McQueen', 'James Garner', 'Richard Attenborough')","$4,000,000","$228,178"
142,Judgment at Nuremberg,1961,8.2,"71,510",179 min,Stanley Kramer,"('Spencer Tracy', 'Burt Lancaster', 'Richard Widmark')","$3,000,000","$12,180"
143,Casino,1995,8.2,"478,180",178 min,Martin Scorsese,"('Robert De Niro', 'Sharon Stone', 'Joe Pesci')","$52,000,000","$116,112,375"
144,The Treasure of the Sierra Madre,1948,8.2,"116,681",126 min,John Huston,"('Humphrey Bogart', 'Walter Huston', 'Tim Holt')","$3,000,000","$5,014,000"
145,Pan's Labyrinth,2006,8.2,"629,452","118 min
|
112 min",Guillermo del Toro,"('Ivana Baquero', 'Ariadna Gil', 'Sergi López')","$19,000,000","$83,850,267"
146,There Will Be Blood,2007,8.1,"531,912",158 min,Paul Thomas Anderson,"('Daniel Day-Lewis', 'Paul Dano', 'Ciarán Hinds')","$25,000,000","$76,182,388"
147,A Beautiful Mind,2001,8.1,"867,649",135 min,Ron Howard,"('Russell Crowe', 'Ed Harris', 'Jennifer Connelly')","$58,000,000","$316,791,257"
148,El secreto de sus ojos,2009,8.1,"197,620",129 min,Juan José Campanella,"('Ricardo Darín', 'Soledad Villamil', 'Pablo Rago')","$2,000,000","$35,079,650"
149,Raging Bull,1980,8.1,"328,448","129 min
|
121 min
            (TV)",Martin Scorsese,"('Robert De Niro', 'Cathy Moriarty', 'Joe Pesci')","$18,000,000","$23,402,427"
